,title,link
30,Lockdown imposed in Bengal town after rise in Covid-19 cases,news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vY29yb25hdmlydXMtb3V0YnJlYWsvc3RvcnkvbG9ja2Rvd24tc29uYXJwdXItYmVuZ2FsLXJpc2UtaW4tY292aWQtMTktY2FzZXMtMTg2OTg3OC0yMDIxLTEwLTI30gF7aHR0cHM6Ly93d3cuaW5kaWF0b2RheS5pbi9hbXAvY29yb25hdmlydXMtb3V0YnJlYWsvc3RvcnkvbG9ja2Rvd24tc29uYXJwdXItYmVuZ2FsLXJpc2UtaW4tY292aWQtMTktY2FzZXMtMTg2OTg3OC0yMDIxLTEwLTI3?hl=en-IN&gl=IN&ceid=IN%3Aen
31,"PM Modi opens Purvanchal Expressway: ‘Development has replaced mafia, poverty’",news.google.com/./articles/CAIiEDVizZiAc_bwnVnuZbheresqGAgEKg8IACoHCAow3rvTBDD89X4w8ZXmBQ?uo=CAUicmh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9pbmRpYS9wbS1uYXJlbmRyYS1tb2RpLW9wZW5zLXB1cnZhbmNoYWwtZXhwcmVzc3dheS1zb3VuZHMtdXAtcG9sbC1idWdsZS03NjI1NDc3L9IBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
32,"IBC show to go ahead, despite partial lockdown",news.google.com/./articles/CAIiEGDPFU-BsaSv21p3P9bgJpUqGQgEKhAIACoHCAowzpSYCzDVvq8DMJKUzwY?uo=CAUiamh0dHBzOi8vd3d3LmF2aW50ZXJhY3RpdmUuY29tL25ld3MvaW5kdXN0cnktZXZlbnRzLW5ld3MvaWJjLXNob3ctZ28tYWhlYWQtZGVzcGl0ZS1yZXN0cmljdGlvbnMtMTYtMTEtMjAyMS_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
33,"Radicalisation of 'lone wolf' terrorists has been fuelled by lockdown, says minister",news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LnRlbGVncmFwaC5jby51ay9uZXdzLzIwMjEvMTEvMTYvcmFkaWNhbGlzYXRpb24tbG9uZS13b2xmLXRlcnJvcmlzdHMtaGFzLWZ1ZWxsZWQtbG9ja2Rvd24tc2F5cy_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
34,Covid-19: 4570 new cases as Taoiseach rules out lockdown for unvaccinated people,news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmllL25ld3MvY292aWQtMTktNDU3MC1uZXctY2FzZXMtYXMtdGFvaXNlYWNoLXJ1bGVzLW91dC1sb2NrZG93bi1mb3ItdW52YWNjaW5hdGVkLXBlb3BsZS00MTA1MzYyMy5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
35,Second of five escaped inmates captured in Georgia,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvdXMtbmV3cy9zZWNvbmQtZml2ZS1lc2NhcGVkLWlubWF0ZXMtY2FwdHVyZWQtZ2VvcmdpYS1yY25hNTY2NdIBKWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL3JjbmE1NjY1?hl=en-IN&gl=IN&ceid=IN%3Aen
36,Police: No weapons found during lockdown at Coventry High School,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LndwcmkuY29tL25ld3MvbG9jYWwtbmV3cy93ZXN0LWJheS9jb3ZlbnRyeS1oaWdoLXNjaG9vbC1vbi1sb2NrZG93bi1hcy1wb2xpY2UtaW52ZXN0aWdhdGUtcnVtb3Iv0gFvaHR0cHM6Ly93d3cud3ByaS5jb20vbmV3cy9sb2NhbC1uZXdzL3dlc3QtYmF5L2NvdmVudHJ5LWhpZ2gtc2Nob29sLW9uLWxvY2tkb3duLWFzLXBvbGljZS1pbnZlc3RpZ2F0ZS1ydW1vci9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen
37,Anderson Elementary School on Precautionary Lockdown Due to Near,news.google.com/./articles/CBMidmh0dHBzOi8vd3d3Lmt0dm4uY29tL3N0b3J5LzQ1MjAyODUwL2FuZGVyc29uLWVsZW1lbnRhcnktc2Nob29sLW9uLXByZWNhdXRpb25hcnktbG9ja2Rvd24tZHVlLXRvLW5lYXJieS1wb2xpY2UtYWN0aXZpdHnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
38,Netherlands to face more lockdown-like measures without 2G coronavirus passes: Health Minister,news.google.com/./articles/CBMic2h0dHBzOi8vbmx0aW1lcy5ubC8yMDIxLzExLzE1L25ldGhlcmxhbmRzLWZhY2UtbG9ja2Rvd24tbGlrZS1tZWFzdXJlcy13aXRob3V0LTJnLWNvcm9uYXZpcnVzLXBhc3Nlcy1oZWFsdGgtbWluaXN0ZXLSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
39,"COVID updates: Victoria records 797 new coronavirus cases and eight deaths, NSW registers 212 new cases and two deaths",news.google.com/./articles/CAIiEKrKG4VZ7pi7d-sTmwmMndYqFwgEKg4IACoGCAow3vI9MPeaCDDEvrgG?uo=CAUiYmh0dHBzOi8vd3d3LmFiYy5uZXQuYXUvbmV3cy8yMDIxLTExLTE2L2NvdmlkLWJsb2ctbnN3LXZpY3RvcmlhLXF1ZWVuc2xhbmQtbGF0ZXN0LXVwZGF0ZXMvMTAwNjIyNDg00gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
40,"After Delhi, Mumbai air also poisoned, will Mayanagari also have lockdown?",news.google.com/./articles/CAIiEC9K0TaBO6_rdPAreMFP5tAqGQgEKhAIACoHCAowh_OGCzDdiIUDMOCX6AY?uo=CAUicGh0dHBzOi8vZW5nbGlzaC5uZXdzdHJhY2tsaXZlLmNvbS9uZXdzL211bWJhaS1haXItcG9sbHV0aW9uLWluY3JlYXNlZC1saWtlLWRlbGhpLW1jMjMtbnU3NjQtdGEzMjItMTE5Mjc1OS0xLmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
41,Covid-19: Beauty bookings through to next year as Waikato emerges from lockdown,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LnN0dWZmLmNvLm56L2J1c2luZXNzLzEyNzAwMDQ4Mi9jb3ZpZDE5LWJlYXV0eS1ib29raW5ncy10aHJvdWdoLXRvLW5leHQteWVhci1hcy13YWlrYXRvLWVtZXJnZXMtZnJvbS1sb2NrZG93btIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
42,Melbourne readies to exit world's longest COVID-19 lockdown,news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FzaWEtcGFjaWZpYy9tZWxib3VybmUtcmVhZGllcy1leGl0LXdvcmxkcy1sb25nZXN0LWNvdmlkLTE5LWxvY2tkb3ducy0yMDIxLTEwLTIwL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
43,District: Ashley Ridge High School placed on lockdown after student runs away from school,news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmxpdmU1bmV3cy5jb20vMjAyMS8xMS8xMS9hc2hsZXktcmlkZ2UtaGlnaC1zY2hvb2wtcHJlY2F1dGlvbmFyeS1sb2NrZG93bi1kdWUtbmVhcmJ5LXBvbGljZS1hY3Rpdml0eS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
44,Stephen Mangan: ‘I still feel like I’m 14 years old’,news.google.com/./articles/CAIiEHHZzdW3aQs2mVB0mx2mWsEqFggEKg4IACoGCAowl6p7MN-zCTCOvRU?uo=CAUikAFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vc3RhZ2UvMjAyMS9ub3YvMTYvc3RlcGhlbi1tYW5nYW4taS1zdGlsbC1mZWVsLWxpa2UtaW0tMTQteWVhcnMtb2xkLXNjcm9vZ2UtbWF0dGhldy13YXJjaHVzLWEtY2hyaXN0bWFzLWNhcm9sLW9sZC12aWPSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
45,"Disadvantaged students’ maths, English results declined in lockdown",news.google.com/./articles/CAIiEKJDdffHNhywPSdzwRGHcnIqGQgEKhAIACoHCAowgNjvCjCC3s8BMOeLnAY?uo=CAUiggFodHRwczovL3d3dy50aGVhZ2UuY29tLmF1L3BvbGl0aWNzL3ZpY3RvcmlhL2Rpc2FkdmFudGFnZWQtc3R1ZGVudHMtbWF0aHMtZW5nbGlzaC1yZXN1bHRzLWRlY2xpbmVkLWluLWxvY2tkb3duLTIwMjExMTE1LXA1OTk0NS5odG1s0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
